mu	cdf_X	cdf_Y
1.00	0.776870	0.632121
1.04	0.763486	0.617553
1.08	0.750389	0.603561
1.12	0.737588	0.590120
1.16	0.725088	0.577206
1.20	0.712893	0.564793
1.24	0.701002	0.552858
1.28	0.689413	0.541377
1.32	0.678124	0.530330
1.36	0.667129	0.519695
1.40	0.656423	0.509451
1.44	0.646001	0.499580
1.48	0.635855	0.490064
1.53	0.625979	0.480885
1.57	0.616365	0.472027
1.61	0.607007	0.463475
1.65	0.597895	0.455214
1.69	0.589024	0.447231
1.73	0.580386	0.439512
1.77	0.571974	0.432046
1.81	0.563780	0.424820
1.85	0.555798	0.417825
1.89	0.548020	0.411049
1.93	0.540441	0.404483
1.97	0.533053	0.398117
2.01	0.525850	0.391943
2.05	0.518826	0.385954
2.09	0.511976	0.380140
2.13	0.505294	0.374494
2.17	0.498774	0.369010
2.21	0.492410	0.363681
2.25	0.486199	0.358500
2.29	0.480134	0.353462
2.33	0.474212	0.348561
2.37	0.468427	0.343791
2.41	0.462775	0.339148
2.45	0.457253	0.334627
2.49	0.451855	0.330223
2.54	0.446577	0.325931
2.58	0.441417	0.321747
2.62	0.436371	0.317668
2.66	0.431435	0.313690
2.70	0.426605	0.309809
2.74	0.421878	0.306021
2.78	0.417252	0.302324
2.82	0.412723	0.298713
2.86	0.408288	0.295187
2.90	0.403945	0.291743
2.94	0.399690	0.288376
2.98	0.395522	0.285086
3.02	0.391437	0.281869
3.06	0.387434	0.278723
3.10	0.383510	0.275646
3.14	0.379663	0.272636
3.18	0.375890	0.269690
3.22	0.372190	0.266806
3.26	0.368560	0.263983
3.30	0.364999	0.261218
3.34	0.361504	0.258510
3.38	0.358075	0.255857
3.42	0.354708	0.253258
3.46	0.351404	0.250710
3.51	0.348159	0.248213
3.55	0.344972	0.245765
3.59	0.341842	0.243364
3.63	0.338767	0.241009
3.67	0.335746	0.238700
3.71	0.332778	0.236433
3.75	0.329861	0.234209
3.79	0.326993	0.232026
3.83	0.324175	0.229884
3.87	0.321403	0.227780
3.91	0.318678	0.225714
3.95	0.315999	0.223685
3.99	0.313363	0.221692
4.03	0.310770	0.219734
4.07	0.308219	0.217810
4.11	0.305710	0.215919
4.15	0.303240	0.214061
4.19	0.300809	0.212234
4.23	0.298416	0.210438
4.27	0.296061	0.208672
4.31	0.293742	0.206935
4.35	0.291459	0.205227
4.39	0.289211	0.203546
4.43	0.286996	0.201893
4.47	0.284815	0.200266
4.52	0.282667	0.198665
4.56	0.280550	0.197090
4.60	0.278464	0.195539
4.64	0.276409	0.194012
4.68	0.274384	0.192509
4.72	0.272388	0.191028
4.76	0.270420	0.189571
4.80	0.268481	0.188135
4.84	0.266568	0.186721
4.88	0.264683	0.185327
4.92	0.262824	0.183955
4.96	0.260990	0.182602
5.00	0.259182	0.181269
